package_name,deprecation_date,deprecation_message,slope,p_value,r_squared,npm_url
@expo-google-fonts/open-sans-condensed,2025-03-28,This font has been removed from Google Fonts and will no longer receive updates.,2.9776118002818226,1.2849254335909914e-11,0.8842532620538068,https://www.npmjs.com/package/@expo-google-fonts/open-sans-condensed
@whitespace/storybook-addon-code,2025-03-12,No longer maintained,2.396046196255472,1.4285634581783626e-14,0.9079672329198932,https://www.npmjs.com/package/@whitespace/storybook-addon-code
@poool/eslint-config-react-native,2025-02-04,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,1.4653102630221204,2.4764626333141365e-280,0.9940186585948936,https://www.npmjs.com/package/@poool/eslint-config-react-native
node-ainzfb-new,2025-03-03,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,1.2972049320604189,8.987068119621766e-05,0.7188168785592478,https://www.npmjs.com/package/node-ainzfb-new
@types/hexo,2025-01-14,"This is a stub types definition. hexo provides its own type definitions, so you do not need this installed.",1.2289651087709599,2.9530902742124926e-20,0.9101084749747095,https://www.npmjs.com/package/@types/hexo
@eslint-types/prettier,2025-03-07,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.963987396512664,3.920893114385933e-45,0.970695465074355,https://www.npmjs.com/package/@eslint-types/prettier
amiruldev,2024-11-07,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.8738920745163403,0.00012244164110421707,0.6369031449016123,https://www.npmjs.com/package/amiruldev
@hookdeck/sdk,2025-02-05,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.8483213913215089,1.1865869585516496e-06,0.6307490626579282,https://www.npmjs.com/package/@hookdeck/sdk
@poool/eslint-plugin,2025-02-04,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.8119147744045319,9.119010337962561e-36,0.9587778332032147,https://www.npmjs.com/package/@poool/eslint-plugin
@eslint-types/deprecation,2025-03-07,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.775332620030567,1.2264670377764888e-17,0.924155851815934,https://www.npmjs.com/package/@eslint-types/deprecation
@bradgarropy/eslint-config-typescript,2024-12-17,This package is deprecated. Please use @bradgarropy/eslint-config instead.,0.7598047577994964,0.00012612423659843743,0.6530797592638109,https://www.npmjs.com/package/@bradgarropy/eslint-config-typescript
@bradgarropy/eslint-config-react,2024-12-17,This package is deprecated. Please use @bradgarropy/eslint-config instead.,0.7498308813205512,0.0011626397155344624,0.6062249480630787,https://www.npmjs.com/package/@bradgarropy/eslint-config-react
@pvtnbr/eslint-config,2024-10-06,Package renamed to 'lintroll',0.6904184473814275,2.0264233838160072e-17,0.8591424734049105,https://www.npmjs.com/package/@pvtnbr/eslint-config
gulp-simple-task-loader,2024-10-13,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.6333420944568884,1.3694827772957137e-10,0.6900248119913164,https://www.npmjs.com/package/gulp-simple-task-loader
@antfu/eslint-config-react,2025-02-12,"Deprecated, please migrate to @antfu/eslint-config with the flat config",0.6208367128234598,7.318149235009756e-262,0.9882104126177427,https://www.npmjs.com/package/@antfu/eslint-config-react
@pvtnbr/eslint-config-base,2024-10-06,Moved to lintroll,0.6184375523550014,5.261223907724602e-10,0.7500852254127618,https://www.npmjs.com/package/@pvtnbr/eslint-config-base
@gusmano/reext,2024-10-31,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,0.5907366532921838,2.197713031712116e-05,0.6365345099679837,https://www.npmjs.com/package/@gusmano/reext
@pvtnbr/eslint-config-typescript,2024-10-06,Moved to lintroll,0.5861023507378041,5.056540192147105e-16,0.7350161312737022,https://www.npmjs.com/package/@pvtnbr/eslint-config-typescript
