package_name,last_month_downloads,npm_url
mimic-fn,378648633,https://www.npmjs.com/package/mimic-fn
pkg-dir,351580236,https://www.npmjs.com/package/pkg-dir
inflight,285602406,https://www.npmjs.com/package/inflight
path-is-absolute,283899721,https://www.npmjs.com/package/path-is-absolute
read-pkg-up,201616573,https://www.npmjs.com/package/read-pkg-up
find-cache-dir,193271505,https://www.npmjs.com/package/find-cache-dir
@humanwhocodes/config-array,153278607,https://www.npmjs.com/package/@humanwhocodes/config-array
@humanwhocodes/object-schema,147131766,https://www.npmjs.com/package/@humanwhocodes/object-schema
os-tmpdir,146731907,https://www.npmjs.com/package/os-tmpdir
@types/mime,127143017,https://www.npmjs.com/package/@types/mime
@types/json5,124837464,https://www.npmjs.com/package/@types/json5
lower-case,119788247,https://www.npmjs.com/package/lower-case
@babel/plugin-proposal-private-property-in-object,118694605,https://www.npmjs.com/package/@babel/plugin-proposal-private-property-in-object
no-case,117972836,https://www.npmjs.com/package/no-case
p-finally,116497387,https://www.npmjs.com/package/p-finally
domexception,112154547,https://www.npmjs.com/package/domexception
@types/parse-json,109570131,https://www.npmjs.com/package/@types/parse-json
abab,109276795,https://www.npmjs.com/package/abab
camel-case,98645267,https://www.npmjs.com/package/camel-case
gauge,95542610,https://www.npmjs.com/package/gauge
npmlog,95079679,https://www.npmjs.com/package/npmlog
are-we-there-yet,94689143,https://www.npmjs.com/package/are-we-there-yet
@types/minimatch,93417600,https://www.npmjs.com/package/@types/minimatch
param-case,93409040,https://www.npmjs.com/package/param-case
dot-case,93020792,https://www.npmjs.com/package/dot-case
source-map-resolve,85826321,https://www.npmjs.com/package/source-map-resolve
pascal-case,84501515,https://www.npmjs.com/package/pascal-case
@babel/plugin-proposal-class-properties,84436472,https://www.npmjs.com/package/@babel/plugin-proposal-class-properties
request,82831509,https://www.npmjs.com/package/request
har-validator,81553276,https://www.npmjs.com/package/har-validator
querystring,80866746,https://www.npmjs.com/package/querystring
@types/glob,78958938,https://www.npmjs.com/package/@types/glob
@babel/plugin-proposal-object-rest-spread,77116410,https://www.npmjs.com/package/@babel/plugin-proposal-object-rest-spread
global-dirs,76701132,https://www.npmjs.com/package/global-dirs
jest-serializer,73765457,https://www.npmjs.com/package/jest-serializer
source-map-url,72614573,https://www.npmjs.com/package/source-map-url
@types/prettier,72551171,https://www.npmjs.com/package/@types/prettier
lodash.get,72353498,https://www.npmjs.com/package/lodash.get
strip-eof,71197835,https://www.npmjs.com/package/strip-eof
resolve-url,70393672,https://www.npmjs.com/package/resolve-url
urix,70228215,https://www.npmjs.com/package/urix
