package_name,deprecation_date,github_url,win_-12_issue_created,win_-12_pr_created,win_-11_issue_created,win_-11_pr_created,win_-10_issue_created,win_-10_pr_created,win_-9_issue_created,win_-9_pr_created,win_-8_issue_created,win_-8_pr_created,win_-7_issue_created,win_-7_pr_created,win_-6_issue_created,win_-6_pr_created,win_-5_issue_created,win_-5_pr_created,win_-4_issue_created,win_-4_pr_created,win_-3_issue_created,win_-3_pr_created,win_-2_issue_created,win_-2_pr_created,win_-1_issue_created,win_-1_pr_created,win_1_issue_created,win_1_pr_created,win_2_issue_created,win_2_pr_created,win_3_issue_created,win_3_pr_created,win_4_issue_created,win_4_pr_created,win_5_issue_created,win_5_pr_created,win_6_issue_created,win_6_pr_created,win_7_issue_created,win_7_pr_created,win_8_issue_created,win_8_pr_created,win_9_issue_created,win_9_pr_created,win_10_issue_created,win_10_pr_created,win_11_issue_created,win_11_pr_created,win_12_issue_created,win_12_pr_created,download_win_-12,download_win_-11,download_win_-10,download_win_-9,download_win_-8,download_win_-7,download_win_-6,download_win_-5,download_win_-4,download_win_-3,download_win_-2,download_win_-1,download_win_1,download_win_2,download_win_3,download_win_4,download_win_5,download_win_6,download_win_7,download_win_8,download_win_9,download_win_10,download_win_11,download_win_12,star_win_-12,star_win_-11,star_win_-10,star_win_-9,star_win_-8,star_win_-7,star_win_-6,star_win_-5,star_win_-4,star_win_-3,star_win_-2,star_win_-1,star_win_1,star_win_2,star_win_3,star_win_4,star_win_5,star_win_6,star_win_7,star_win_8,star_win_9,star_win_10,star_win_11,star_win_12,fork_win_-12,fork_win_-11,fork_win_-10,fork_win_-9,fork_win_-8,fork_win_-7,fork_win_-6,fork_win_-5,fork_win_-4,fork_win_-3,fork_win_-2,fork_win_-1,fork_win_1,fork_win_2,fork_win_3,fork_win_4,fork_win_5,fork_win_6,fork_win_7,fork_win_8,fork_win_9,fork_win_10,fork_win_11,fork_win_12,Package Age,Contributors Count,Total Releases,Dependency count
inflight,2024-05-23,https://github.com/npm/inflight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177480263,176150813,173443527,189494791,182105286,191507100,176830300,161602242,186311890,186043124,192764192,194663717,186169622,201739199,193552510,194124334,214111020,213864789,176870669,199260633,201040841,217523669,229851222,237079549,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,10.05,9,7,3194
mimic-fn,2023-11-05,https://github.com/sindresorhus/mimic-fn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192903908,169520882,189038766,191750151,221462884,192382577,217477576,220712066,220602418,240234711,227381626,247457471,214129495,250155639,252065881,263184515,267374046,268266728,256990326,285428787,274850056,275918563,296856377,286827497,1,1,0,0,0,2,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.04,11,9,2544
path-is-absolute,2023-07-21,https://github.com/sindresorhus/path-is-absolute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144579679,169034147,156175391,155056124,162286992,146443278,158391494,161560253,184998349,162969866,176440317,174841575,187577098,179790544,190097771,175995412,160950472,185598974,185183815,190797371,191724317,193997109,183598606,198919797,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.42,2,3,4415
lower-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,74731564,74592787,78274676,68649426,76298631,77168462,88955649,75734532,84447470,83844349,82703208,88160145,86309216,78075327,70093469,83299971,84721999,87858190,89015260,89015467,83815094,92317493,88180472,88665901,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,9.59,25,14,516
@babel/plugin-proposal-private-property-in-object,2023-09-02,https://github.com/babel/babel-plugin-proposal-private-property-in-object,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66132998,66392449,71065096,63079468,70493088,72185149,84167144,71612528,79112995,84910568,86055151,92312196,92806909,85237277,76150672,91283602,91979049,95831197,96927952,96803267,90191100,98080568,94136630,95126027,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,3.27,1,26,2102
no-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,72010898,71731909,75159039,65785599,72965199,73732609,84769421,72269038,80394569,79861954,78719756,84208965,82792088,75144282,67323522,80119573,81778153,84896889,86071804,86194173,81395480,89832946,85908154,86564115,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,7.3,25,12,635
camel-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,70352725,69887577,73030378,63507016,70471926,70941392,81066674,68750171,75446369,74373626,72423180,77273080,75409387,68412881,61353799,72572378,73808259,76045223,76479470,75867614,70919717,77857226,73332736,73879867,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,9.52,25,21,1409
param-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,64218904,64209173,67702451,59078339,65649320,66293939,76093292,64758725,71260288,70525679,68874159,73575953,71855089,65198814,58400332,69043164,70034580,72069549,72428269,71807560,67121655,73685164,69410249,70090225,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,9.52,25,17,881
dot-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,50868525,50965307,54346911,47285128,53266794,54057919,62474525,53426804,59280747,59014587,57974983,62588852,62625750,57067908,51561118,61963804,63362326,65976064,66748545,66694051,62793659,69430599,66415334,67264979,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,9.52,25,17,409
pascal-case,2023-09-30,https://github.com/blakeembrey/change-case,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,7,1,6,0,5,2,1,3,0,1,1,1,3,1,0,1,1,0,1,0,0,1,2,1,53574546,53457474,56333697,48910490,55020120,55698784,64203018,54934284,60491582,59842587,58604134,62839723,61966630,56293780,50764296,60507492,61659480,63787080,64302350,63902955,60077566,66037165,62549135,63054299,21,20,22,19,17,23,14,7,24,11,11,20,12,21,11,18,16,13,20,29,18,13,29,16,1,1,1,0,1,3,0,0,3,1,0,0,1,2,3,3,2,1,1,1,0,0,2,1,9.52,25,16,1487
