package_name,deprecation_date,github_url,win_-12_issue_created,win_-12_pr_created,win_-11_issue_created,win_-11_pr_created,win_-10_issue_created,win_-10_pr_created,win_-9_issue_created,win_-9_pr_created,win_-8_issue_created,win_-8_pr_created,win_-7_issue_created,win_-7_pr_created,win_-6_issue_created,win_-6_pr_created,win_-5_issue_created,win_-5_pr_created,win_-4_issue_created,win_-4_pr_created,win_-3_issue_created,win_-3_pr_created,win_-2_issue_created,win_-2_pr_created,win_-1_issue_created,win_-1_pr_created,win_1_issue_created,win_1_pr_created,win_2_issue_created,win_2_pr_created,win_3_issue_created,win_3_pr_created,win_4_issue_created,win_4_pr_created,win_5_issue_created,win_5_pr_created,win_6_issue_created,win_6_pr_created,win_7_issue_created,win_7_pr_created,win_8_issue_created,win_8_pr_created,win_9_issue_created,win_9_pr_created,win_10_issue_created,win_10_pr_created,win_11_issue_created,win_11_pr_created,win_12_issue_created,win_12_pr_created,download_win_-12,download_win_-11,download_win_-10,download_win_-9,download_win_-8,download_win_-7,download_win_-6,download_win_-5,download_win_-4,download_win_-3,download_win_-2,download_win_-1,download_win_1,download_win_2,download_win_3,download_win_4,download_win_5,download_win_6,download_win_7,download_win_8,download_win_9,download_win_10,download_win_11,download_win_12,star_win_-12,star_win_-11,star_win_-10,star_win_-9,star_win_-8,star_win_-7,star_win_-6,star_win_-5,star_win_-4,star_win_-3,star_win_-2,star_win_-1,star_win_1,star_win_2,star_win_3,star_win_4,star_win_5,star_win_6,star_win_7,star_win_8,star_win_9,star_win_10,star_win_11,star_win_12,fork_win_-12,fork_win_-11,fork_win_-10,fork_win_-9,fork_win_-8,fork_win_-7,fork_win_-6,fork_win_-5,fork_win_-4,fork_win_-3,fork_win_-2,fork_win_-1,fork_win_1,fork_win_2,fork_win_3,fork_win_4,fork_win_5,fork_win_6,fork_win_7,fork_win_8,fork_win_9,fork_win_10,fork_win_11,fork_win_12,Package Age,Contributors Count,Total Releases,Dependency count
read-pkg-up,2023-11-04,https://github.com/sindresorhus/read-pkg-up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150660334.0,130228141.0,144650479.0,142909136.0,163763964.0,138052825.0,151991295.0,149795720.0,146031984.0,153746874.0,143355218.0,147878343.0,119488789.0,138566547.0,137524579.0,140472846.0,141005476.0,140667071.0,131360969.0,140839916.0,128436634.0,128383378.0,141050607.0,166671499.0,1,2,1,1,3,0,2,3,4,4,3,1,2,0,1,2,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.17,9,14,3108
@humanwhocodes/config-array,2024-06-10,https://github.com/humanwhocodes/config-array,0,2,4,1,0,4,0,3,1,10,0,2,0,1,0,4,0,0,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107345314.0,106326988.0,114394135.0,111717239.0,121465271.0,112180731.0,102179068.0,123602093.0,126100558.0,130072682.0,134611981.0,135156613.0,136610895.0,130273404.0,130354288.0,142357638.0,137520550.0,113594987.0,125175715.0,124429344.0,132578375.0,137139050.0,135181842.0,159493184.0,1,0,0,0,1,0,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.54,8,44,19
@humanwhocodes/object-schema,2024-06-10,https://github.com/humanwhocodes/object-schema,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93783952.0,93975616.0,101855213.0,97727151.0,108446667.0,103966842.0,95687133.0,116588647.0,119817021.0,124547094.0,131294105.0,131197507.0,133741877.0,127795056.0,126363839.0,136703795.0,132513054.0,109455258.0,120489630.0,119325631.0,126436537.0,131148111.0,128972160.0,153021534.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5.35,2,11,9
p-finally,2022-06-23,https://github.com/sindresorhus/p-finally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94420404.0,89084698.0,90186454.0,90785097.0,96128412.0,91497315.0,81791723.0,88025188.0,87505726.0,97216889.0,87854356.0,90141621.0,89621256.0,103096936.0,94584874.0,92684865.0,94688742.0,83104659.0,89991216.0,91234584.0,100734418.0,86979452.0,93276485.0,92285227.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.67,3,4,971
domexception,2023-11-26,https://github.com/jsdom/domexception,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77869163.0,67805309.0,76515675.0,76523041.0,87791855.0,74103766.0,82271281.0,81732541.0,80278205.0,85822237.0,79203612.0,84773212.0,67622180.0,79059494.0,78000070.0,78281957.0,79060126.0,79472965.0,73854456.0,81860289.0,76650252.0,76006477.0,82605535.0,92633852.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.28,2,6,742
abab,2023-11-27,https://github.com/jsdom/abab,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80806005.0,69900739.0,78494451.0,78068439.0,89124131.0,75061492.0,83507659.0,82704918.0,80882510.0,85289413.0,77998671.0,83112587.0,66870028.0,77706716.0,75987585.0,76444756.0,76764604.0,76945443.0,71350201.0,78425207.0,73138917.0,72357557.0,78996933.0,90876310.0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.24,12,12,953
source-map-resolve,2022-06-26,https://github.com/lydell/source-map-resolve,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95840600.0,92954514.0,97400377.0,101271959.0,101179570.0,101726811.0,94259882.0,104218061.0,106917750.0,120815392.0,106568603.0,108537209.0,102422287.0,114054811.0,101574903.0,98042593.0,98385742.0,84013701.0,90670643.0,89668638.0,100440208.0,83579384.0,90036423.0,86511957.0,0,0,1,0,0,2,1,1,1,2,5,4,2,2,1,1,1,2,0,1,3,1,0,0,2,1,0,0,1,0,1,2,0,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,8.31,4,14,973
har-validator,2022-06-18,https://github.com/ahmadnassri/node-har-validator,1,2,0,3,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,6,0,3,0,2,0,2,0,0,0,1,0,3,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,98002829.0,92569416.0,92465130.0,93204127.0,98052584.0,91467131.0,79346142.0,83707404.0,82914730.0,92042635.0,83911711.0,86484955.0,79526799.0,88565677.0,81895107.0,79527843.0,79991464.0,69284168.0,74554082.0,74588519.0,80915450.0,70185406.0,74302815.0,73110521.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7.35,10,53,704
querystring,2022-06-25,https://github.com/Gozala/querystring,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84065767.0,83256885.0,87337346.0,92247797.0,94345231.0,96035850.0,94320616.0,104544784.0,104902806.0,117115557.0,96558127.0,95755191.0,95186131.0,109181975.0,102063038.0,99506223.0,102243447.0,87914487.0,95605969.0,95086798.0,107668720.0,88845040.0,94874030.0,88163618.0,2,4,0,1,1,0,1,0,2,2,1,1,0,0,0,0,2,0,1,0,1,1,1,0,3,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,11.2,11,5,2904
@babel/plugin-proposal-class-properties,2023-09-01,https://github.com/babel/babel,28,49,36,46,71,68,24,42,24,20,29,45,20,37,19,43,25,34,22,45,24,51,15,55,24,42,17,33,26,43,8,22,20,33,18,47,24,48,18,34,22,59,12,40,26,70,22,59,93374037.0,92341234.0,96240784.0,82712945.0,91660399.0,91224412.0,104879836.0,88244738.0,96748097.0,90817151.0,86749220.0,90467320.0,86200510.0,75570054.0,64917851.0,75138016.0,73857121.0,75093621.0,74022053.0,72578461.0,66213811.0,71103116.0,66477038.0,66491084.0,163,153,139,128,121,135,155,149,100,130,113,104,99,104,120,92,96,85,98,88,88,94,107,85,29,36,17,33,30,28,31,29,21,15,20,21,26,21,16,19,22,50,16,12,20,20,27,16,5.84,30,65,49541
