package_name,cve_ids,severity_rating,cvss_score,summary,published_at,details_preview,advisory_url,vuln_id,is_withdrawn
mxgraph,CVE-2017-18197,CRITICAL,9.8,mxGraph vulnerable to XXE attacks,2022-05-14T03:38:59Z,"In `mxGraphViewImageReader.java` in mxGraph before 3.7.6, the `SAXParserFactory` instance in `conver...",https://nvd.nist.gov/vuln/detail/CVE-2017-18197,GHSA-wvpv-8524-wg6x,No
lsof,CVE-2019-10783,HIGH,9.8,OS Command Injection in lsof,2021-04-13T15:17:53Z,All versions including 0.0.4 of lsof npm module are vulnerable to Command Injection. Every exported ...,https://nvd.nist.gov/vuln/detail/CVE-2019-10783,GHSA-whq6-mj2r-mjqc,No
@prisma/sdk,CVE-2021-21414,HIGH,7.7,Command injection vulnerability in @prisma/sdk in getPackedPackage function,2021-04-06T17:25:12Z,"### Impact  As of today, we are not aware of any Prisma users or external consumers of the `@prisma/...",https://github.com/prisma/prisma/security/advisories/GHSA-pxcc-hj8w-fmm7,GHSA-pxcc-hj8w-fmm7,No
no-case,CVE-2017-16099,HIGH,7.5,Regular Expression Denial of Service in no-case,2018-07-24T19:51:16Z,Affected versions of `no-case` are vulnerable to a regular expression denial of service when parsing...,https://nvd.nist.gov/vuln/detail/CVE-2017-16099,GHSA-ff6r-5jwm-8292,No
ecstatic,CVE-2016-10703,HIGH,7.5,Denial of Service in ecstatic,2017-12-28T22:52:47Z,"`ecstatic`, a simple static file server middleware, is vulnerable to denial of service. If a payload...",https://nvd.nist.gov/vuln/detail/CVE-2016-10703,GHSA-pm9p-9926-w68m,No
notevil,CVE-2021-23771,MODERATE,6.5,Sandbox escape in notevil and argencoders-notevil,2022-03-18T00:01:11Z,This affects all versions of package notevil; all versions of package argencoders-notevil. It is vul...,https://nvd.nist.gov/vuln/detail/CVE-2021-23771,GHSA-8g4m-cjm2-96wq,No
component-flatten,CVE-2019-10794,MODERATE,6.3,component-flatten vulnerable to Prototype Pollution,2022-05-24T17:09:13Z,All versions of component-flatten are vulnerable to Prototype Pollution. The a function could be tri...,https://nvd.nist.gov/vuln/detail/CVE-2019-10794,GHSA-g6r3-hhg9-qf58,No
mxgraph,CVE-2022-40440,MODERATE,6.1,mxGraph vulnerable to cross-site scripting in setTooltips function,2022-10-12T12:00:19Z,mxGraph v4.2.2 was discovered to contain a cross-site scripting (XSS) vulnerability via the `setTool...,https://nvd.nist.gov/vuln/detail/CVE-2022-40440,GHSA-j4rv-pr9g-q8jv,No
mxgraph,CVE-2019-13127,MODERATE,6.1,mxGraph vulnerable to cross-site scripting in color field,2022-05-24T16:49:07Z,"mxGraph through 4.0.0, related to the [draw.io Diagrams](https://github.com/jgraph/drawio) plugin be...",https://nvd.nist.gov/vuln/detail/CVE-2019-13127,GHSA-xm59-jvxm-cp3v,No
apollo-server-core,,LOW,0.0,Prevent logging invalid header values,2023-08-30T21:24:57Z,## Impact ### What kind of vulnerability is it? Apollo Server can log sensitive information (Studio ...,https://github.com/apollographql/apollo-server/security/advisories/GHSA-j5g3-5c8r-7qfx,GHSA-j5g3-5c8r-7qfx,No
apollo-server-core,,MODERATE,0.0,Batched HTTP requests may set incorrect `cache-control` response header,2022-11-02T18:18:10Z,"### Impact In Apollo Server 3 and 4, the `cache-control` HTTP response header may not reflect the ca...",https://github.com/apollographql/apollo-server/security/advisories/GHSA-8r69-3cvp-wxc3,GHSA-8r69-3cvp-wxc3,No
apollo-server,,MODERATE,0.0,The graphql-upload library included in Apollo Server 2 is vulnerable to CSRF mutations,2022-10-12T14:15:48Z,### Impact The [graphql-upload](https://www.npmjs.com/package/graphql-upload) npm package can execut...,https://github.com/apollographql/apollo-server/security/advisories/GHSA-2p3c-p3qw-69r4,GHSA-2p3c-p3qw-69r4,No
