package_name,cve_ids,severity_rating,cvss_score,summary,published_at,details_preview,advisory_url,vuln_id,is_withdrawn
vm2,CVE-2022-36067,CRITICAL,10.0,vm2 vulnerable to Sandbox Escape resulting in Remote Code Execution on host,2022-09-28T13:09:01Z,### Impact A threat actor can bypass the sandbox protections to gain remote code execution rights on...,https://github.com/patriksimek/vm2/security/advisories/GHSA-mrgp-mrhc-5jrq,GHSA-mrgp-mrhc-5jrq,No
fastify-http-proxy,CVE-2021-21322,LOW,10.0,Prefix escape,2021-03-03T02:18:08Z,"### Impact  By crafting a specific URL, it is possible to escape the prefix of the proxied backend s...",https://github.com/fastify/fastify-http-proxy/security/advisories/GHSA-c4qr-gmr9-v23w,GHSA-c4qr-gmr9-v23w,No
fastify-reply-from,CVE-2021-21321,CRITICAL,10.0,Prefix escape,2021-03-03T01:52:05Z,"### Impact  By crafting a specific URL, it is possible to escape the prefix of the proxied backend s...",https://github.com/fastify/fastify-reply-from/security/advisories/GHSA-qmw8-3v4g-gwj4,GHSA-qmw8-3v4g-gwj4,No
safer-eval,CVE-2019-10759,CRITICAL,9.9,Sandbox Breakout / Arbitrary Code Execution in safer-eval,2019-10-21T21:58:34Z,Versions of `safer-eval` prior to 1.3.4 are vulnerable to Sandbox Escape leading to Remote Code Exec...,https://nvd.nist.gov/vuln/detail/CVE-2019-10759,GHSA-r3x4-wr4h-pw33,No
safer-eval,CVE-2019-10760,CRITICAL,9.9,Sandbox Breakout / Arbitrary Code Execution in safer-eval,2019-10-17T18:27:30Z,Versions of `safer-eval` before 1.3.2 are vulnerable to Sandbox Escape leading to Remote Code Execut...,https://nvd.nist.gov/vuln/detail/CVE-2019-10760,GHSA-hgch-jjmr-gp7w,No
openssl,CVE-2023-49210,CRITICAL,9.8,openssl npm package vulnerable to command execution,2023-11-23T21:30:18Z,"The openssl (aka node-openssl) NPM package through 2.0.0 was characterized as ""a nonsense wrapper wi...",https://nvd.nist.gov/vuln/detail/CVE-2023-49210,GHSA-75w2-qv55-x7fv,No
vm2,CVE-2023-37466,CRITICAL,9.8,vm2 Sandbox Escape vulnerability,2023-07-13T17:02:02Z,"In vm2 for versions up to 3.9.19, `Promise` handler sanitization can be bypassed, allowing attackers...",https://github.com/patriksimek/vm2/security/advisories/GHSA-cchq-frgv-rjh5,GHSA-cchq-frgv-rjh5,No
vm2,CVE-2023-37903,CRITICAL,9.8,vm2 Sandbox Escape vulnerability,2023-07-13T17:01:58Z,"In vm2 for versions up to 3.9.19, Node.js custom inspect function allows attackers to escape the san...",https://github.com/patriksimek/vm2/security/advisories/GHSA-g644-9gfx-q4q4,GHSA-g644-9gfx-q4q4,No
vm2,CVE-2023-32314,CRITICAL,9.8,vm2 Sandbox Escape vulnerability,2023-05-15T20:50:51Z,A sandbox escape vulnerability exists in vm2 for versions up to 3.9.17. It abuses an unexpected crea...,https://github.com/patriksimek/vm2/security/advisories/GHSA-whpj-8f3w-67p5,GHSA-whpj-8f3w-67p5,No
vm2,CVE-2023-30547,CRITICAL,9.8,vm2 Sandbox Escape vulnerability,2023-04-20T14:37:53Z,"There exists a vulnerability in exception sanitization of vm2 for versions up to 3.9.16, allowing at...",https://github.com/patriksimek/vm2/security/advisories/GHSA-ch3r-j5x3-6q2m,GHSA-ch3r-j5x3-6q2m,No
vm2,CVE-2023-29199,CRITICAL,9.8,vm2 Sandbox Escape vulnerability,2023-04-12T20:42:44Z,There exists a vulnerability in source code transformer (exception sanitization logic) of vm2 for ve...,https://github.com/patriksimek/vm2/security/advisories/GHSA-xj72-wvfv-8985,GHSA-xj72-wvfv-8985,No
vm2,CVE-2023-29017,CRITICAL,9.8,vm2 vulnerable to sandbox escape,2023-04-07T20:35:03Z,vm2 was not properly handling host objects passed to `Error.prepareStackTrace` in case of unhandled ...,https://github.com/patriksimek/vm2/security/advisories/GHSA-7jxr-cg7f-gpgv,GHSA-7jxr-cg7f-gpgv,No
